paper_dataset_name,runs,mean_speedup,mean_accuracy_delta,mean_macro_f1_delta,mean_direct_route_ratio,mean_early_stop_ratio_realized,mean_avg_subgraphs_saved
AIDS,6,2.104153858087533,-0.0002568053415510918,-0.00036946521019765033,0.2546224961479199,0.9882592557603069,4.683230611196713
Amazon-C,6,0.6141231937801425,0.021216485707954813,0.0091062986522365,0.3030135165078662,0.9999446044759583,202.2499076741266
CiteSeer,9,0.17801372998151602,0.00010477238200010428,-0.0004405674643477421,0.021216407355021213,1.0,199.6795012834617
Cora-ML,6,0.26506558370120864,0.004803675856307421,0.0038097485018540786,0.1067251461988304,1.0,170.13304093567254
DD,6,1.3248603483414452,0.0003501400560224077,0.0008424959874474928,0.029761904761904764,0.9695932956820935,9.242997198879552
PROTEINS,6,1.2874205691387324,0.0,0.0,0.0,0.9886455798864558,7.813868613138685
PubMed,6,0.2779332077979776,0.011876783615914044,0.012083182628420933,0.3658161266856919,1.0,209.9673213586257
