task,robust_mode,runs,mean_speedup,mean_accuracy_delta,mean_macro_f1_delta,mean_direct_route_ratio,mean_early_stop_ratio_realized,mean_avg_subgraphs_saved
graph,e,9,1.6898987584096878,-0.000256805341551098,-0.0005758253073745569,0.09805144451206266,0.9818910872148943,7.72196280904463
graph,n,9,1.4543910919687857,0.00031902848453197526,0.0008911791588744519,0.09153815609448711,0.9824410003376767,6.771434806432004
node,e,11,0.4219008673854875,0.016976456758227534,0.01199397433210017,0.3295500907831627,0.9999899280865379,203.89170922031641
node,n,16,0.2439966212668284,0.002598974886159733,0.000881034616427346,0.07620158774592076,0.9999861511189896,190.52552062113898
