task,runs,mean_speedup,mean_accuracy_delta,mean_macro_f1_delta,mean_direct_route_ratio,mean_early_stop_ratio_realized,mean_avg_subgraphs_saved
graph,18,1.5721449251892368,3.111157149043864e-05,0.0001576769257499475,0.09479480030327486,0.9821660437762854,7.2466988077383165
node,27,0.3164761289448006,0.008456467500705875,0.005408528574664422,0.1794176445388712,0.9999876898835462,195.97100486524832
