method,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,total_sec,ms_per_sample,avg_subgraphs_used,direct_route_ratio,early_stop_ratio
baseline,0.03775038520801233,0.03637713437268003,0.002746501670664594,0.018875192604006163,0.5,74.50683679999929,57.40126101694861,9.463790446841294,0.0,0.0
adaptive,0.03775038520801233,0.03637713437268003,0.002746501670664594,0.018875192604006163,0.5,24.72627190000003,19.049516101694937,5.482280431432974,0.0,1.0
