method,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,total_sec,ms_per_sample,avg_subgraphs_used,direct_route_ratio,early_stop_ratio
baseline,0.754257907542579,0.567688318180398,0.7148709942327852,0.6310491676345334,0.5657536907536908,14.099744199999805,34.305946958636994,9.630170316301703,0.0,0.0
adaptive,0.754257907542579,0.567688318180398,0.7148709942327852,0.6310491676345334,0.5657536907536908,10.949598399999559,26.641358637468514,6.265206812652068,0.0,0.9854014598540146
