method,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,total_sec,ms_per_sample,avg_subgraphs_used,direct_route_ratio,early_stop_ratio
baseline,0.6860902255639098,0.5901347218887558,0.7052727819060746,0.5843171180886397,0.6351877428682273,1.46930169999996,0.9206151002506014,200.0,0.0,0.0
adaptive,0.6860902255639098,0.5901347218887558,0.7052727819060746,0.5843171180886397,0.6351877428682273,5.641017799999645,3.5344723057641887,101.37092731829574,0.0,1.0
